"sequence","asset","duration","avg_entry","cost","payout","pnl","trade_count","won"
"90","btc","5m","0.22999989875000001","1.9999989999999999","0.0","-1.9999989999999999","2","False"
"91","btc","5m","0.22499990320000002","1.9999989999999999","0.0","-1.9999989999999999","2","False"
"92","btc","5m","0.429999828","0.999999","0.0","-0.999999","1","False"
"93","btc","5m","0.95","3.002","3.16","0.15800000000000036","1","True"
"94","btc","5m","0.54","0.999999","0.0","-0.999999","1","False"
"95","btc","5m","0.5299998781","0.999999","1.886791","0.8867920000000001","1","True"
"96","btc","5m","0.54","0.999999","0.0","-0.999999","1","False"
"97","btc","5m","0.5299998781","0.999999","0.0","-0.999999","1","False"
"98","btc","5m","0.7599999793","4.004599","5.069274","1.0646750000000003","2","True"
"99","btc","5m","0.089999919","0.999999","0.0","-0.999999","1","False"
"100","btc","5m","0.6799998804","4.005999","0.0","-4.005999","2","False"
"101","btc","5m","0.7","0.999999","0.0","-0.999999","1","False"
"102","btc","5m","0.3799999012","0.999999","0.0","-0.999999","1","False"
"103","btc","5m","0.6099998597","0.999999","0.0","-0.999999","1","False"
"104","btc","5m","0.52","0.999999","0.0","-0.999999","1","False"
"105","btc","5m","0.7","0.999999","0.0","-0.999999","1","False"
"106","btc","5m","0.719999856","0.999997","1.388885","0.3888879999999999","1","True"
"107","btc","5m","0.4499997975","0.999999","0.0","-0.999999","1","False"
"108","btc","5m","0.29999996706666665","2.999999","0.0","-2.999999","3","False"
"109","btc","5m","0.2699998542","0.999999","0.0","-0.999999","1","False"
"110","btc","5m","0.579999826","0.999998","1.724135","0.7241369999999999","1","True"
"111","btc","5m","0.09","0.9486","0.0","-0.9486","2","False"
"112","btc","5m","0.16","0.8432","0.0","-0.8432","1","False"
"113","btc","5m","0.095","2.0011","0.0","-2.0011","2","False"
"114","btc","5m","0.15500000000000003","2.0023","0.0","-2.0023","2","False"
"115","btc","5m","0.18","2.0016","11.12","9.1184","2","True"
"116","btc","5m","0.17","2.0012999999999996","0.0","-2.0012999999999996","3","False"
"117","btc","5m","0.1","1.6896","0.0","-1.6896","2","False"
"118","btc","5m","0.06","1.4","0.0","-1.4","2","False"
"119","btc","5m","0.08","1.7999999999999998","22.5","20.7","4","True"
"120","btc","5m","0.095","1.2673","0.0","-1.2673","2","False"
"121","btc","5m","0.05333333333333334","1.6672","31.119999999999997","29.452799999999996","3","True"
"122","btc","5m","0.035","0.3689","0.0","-0.3689","2","False"
"123","btc","5m","0.15000000506666666","2.000117","0.0","-2.000117","3","False"
"124","btc","5m","0.15000002145","1.0004110000000002","0.0","-1.0004110000000002","2","False"
"125","btc","5m","0.16","1.0","0.0","-1.0","2","False"
"126","btc","5m","0.15","0.8835","0.0","-0.8835","1","False"
"127","btc","5m","0.18333334269999998","2.001529","0.0","-2.001529","3","False"
"128","btc","5m","0.19","1.0013","5.27","4.268699999999999","1","True"
"129","btc","5m","0.17","1.0013","5.89","4.8887","2","True"
"130","btc","5m","0.065","2.0","32.5","30.5","4","True"
"131","btc","5m","0.09","1.1178","0.0","-1.1178","2","False"
"132","eth","5m","0.65","1.001","0.0","-1.001","1","False"
"133","eth","5m","0.79","1.0033","1.27","0.26669999999999994","1","True"
"134","btc","5m","0.175","1.8445","0.0","-1.8445","2","False"
"135","eth","5m","0.72","0.9","0.0","-0.9","1","False"
"136","btc","5m","0.1","0.9993329999999999","0.0","-0.9993329999999999","2","False"
"137","btc","5m","0.09","2.0016","0.0","-2.0016","2","False"
"138","eth","5m","0.78","1.0062","0.0","-1.0062","1","False"
"139","btc","5m","0.11","1.001","0.0","-1.001","3","False"
"140","eth","5m","0.8","1.0","1.25","0.25","1","True"
"141","eth","5m","0.79","1.0033","0.0","-1.0033","1","False"
"142","btc","5m","0.19","1.0013","0.0","-1.0013","1","False"
"143","btc","5m","0.14","1.5219999999999998","0.0","-1.5219999999999998","2","False"
"144","eth","5m","0.605","1.9799","1.25","-0.7299","2","True"
"145","btc","5m","0.14666666666666667","4.0023","0.0","-4.0023","3","False"
"146","eth","5m","0.8","1.0","1.25","0.25","1","True"
"147","btc","5m","0.18","2.0016","0.0","-2.0016","2","False"
"148","eth","5m","0.77","0.9779","1.27","0.2921","1","True"
"149","btc","5m","0.15500000000000003","1.683","0.0","-1.683","2","False"
"150","btc","5m","0.14","1.001","0.0","-1.001","1","False"
"151","btc","5m","0.15666666913333335","1.832857","11.802855999999998","9.969998999999998","3","True"
"152","btc","5m","0.19000000000000003","2.0007","0.0","-2.0007","3","False"
"153","eth","5m","0.62","0.9858","0.0","-0.9858","1","False"
"154","eth","5m","0.58","1.0034","0.0","-1.0034","1","False"
"155","eth","5m","0.61","1.0004","0.0","-1.0004","1","False"
"156","eth","5m","0.65","1.001","0.0","-1.001","1","False"
"157","eth","5m","0.52","1.0036","0.0","-1.0036","1","False"
"158","eth","5m","0.5","0.945","1.89","0.945","1","True"
"159","eth","5m","0.53","0.9646","0.0","-0.9646","1","False"
"160","eth","5m","0.55","1.001","1.82","0.8190000000000002","1","True"
"161","eth","5m","0.55","1.001","1.82","0.8190000000000002","1","True"
"162","eth","5m","0.53","1.0017","1.89","0.8882999999999999","1","True"
"163","eth","5m","0.5","0.91","1.82","0.91","1","True"
"164","eth","5m","0.45","1.0035","2.23","1.2265","1","True"
"165","eth","5m","0.54","1.0044","0.0","-1.0044","1","False"
"166","eth","5m","0.51","0.9639","0.0","-0.9639","1","False"
"167","eth","5m","0.4","0.892","0.0","-0.892","1","False"
"168","eth","5m","0.49","0.9114","0.0","-0.9114","1","False"
"169","eth","5m","0.52","1.0036","1.93","0.9263999999999999","1","True"
"170","eth","5m","0.5","0.91","0.0","-0.91","1","False"
"171","eth","5m","0.53","1.0017","1.89","0.8882999999999999","1","True"
"172","eth","5m","0.52","1.0036","0.0","-1.0036","1","False"
"173","eth","5m","0.52","0.9828","0.0","-0.9828","1","False"
"174","eth","5m","0.55","1.001","1.82","0.8190000000000002","1","True"
"175","eth","5m","0.7","1.001","1.43","0.42900000000000005","1","True"
"176","eth","5m","0.56","0.84","0.0","-0.84","1","False"
"177","eth","5m","0.5","1.9495","0.0","-1.9495","2","False"
"178","eth","5m","0.49","0.9261","1.89","0.9638999999999999","1","True"
"179","eth","5m","0.54","1.0044","1.86","0.8556000000000001","1","True"
"180","eth","5m","0.52","0.9464","0.0","-0.9464","1","False"
"181","eth","5m","0.5549999999999999","2.0051","3.62","1.6149","2","True"
"182","eth","15m","0.12","0.999927","0.0","-0.999927","2","False"
"183","eth","5m","0.57","0.8436","1.48","0.6364","1","True"
"184","eth","5m","0.52","0.9672","1.86","0.8928000000000001","1","True"
"185","eth","15m","0.9","1.008","1.12","0.1120000000000001","1","True"
"186","eth","5m","0.58","0.9106","1.57","0.6594000000000001","1","True"
"187","eth","15m","0.63","1.0017","1.59","0.5883","1","True"
"188","eth","5m","0.53","0.9646","0.0","-0.9646","1","False"
"189","eth","15m","0.8","1.0","0.0","-1.0","1","False"
"190","btc","5m","0.130000003775","4.001385","0.0","-4.001385","4","False"
"191","eth","5m","0.65","1.001","1.54","0.5390000000000001","1","True"
"192","eth","5m","0.575","1.9849999999999999","3.46","1.475","2","True"
"193","eth","5m","0.51","0.9639","0.0","-0.9639","1","False"
"194","eth","5m","0.53","1.0017","0.0","-1.0017","1","False"
"195","eth","15m","0.75","1.005","0.0","-1.005","1","False"
"196","eth","5m","0.51","0.9843","0.0","-0.9843","1","False"
"197","eth","15m","0.71","1.0011","0.0","-1.0011","1","False"
"198","eth","5m","0.48","1.0032","2.09","1.0867999999999998","1","True"
"199","eth","5m","0.55","1.001","1.82","0.8190000000000002","1","True"
"200","eth","5m","0.55","1.001","0.0","-1.001","1","False"
"201","eth","5m","0.52","1.0036","1.93","0.9263999999999999","1","True"
"202","eth","5m","0.54","1.0044","1.86","0.8556000000000001","1","True"
"203","eth","15m","0.69","0.9867","1.43","0.4432999999999999","1","True"
"204","eth","5m","0.66","1.0032","1.52","0.5167999999999999","1","True"
"205","eth","5m","0.63","1.0017","0.0","-1.0017","1","False"
"206","eth","15m","0.72","1.0008","1.39","0.3892","1","True"
"207","eth","5m","0.69","1.0005","1.45","0.4495","1","True"
"208","eth","15m","0.73","1.0001","0.0","-1.0001","1","False"
"209","eth","5m","0.65","1.001","0.0","-1.001","1","False"
"210","eth","15m","0.74","1.0064","1.36","0.35360000000000014","1","True"
"211","eth","5m","0.54","1.0044","0.0","-1.0044","1","False"
"212","eth","5m","0.55","1.001","1.82","0.8190000000000002","1","True"
"213","eth","5m","0.51","1.0047","0.0","-1.0047","1","False"
"214","eth","5m","0.51","0.9282","0.0","-0.9282","1","False"
"215","eth","5m","0.52","1.0036","0.0","-1.0036","1","False"
"216","eth","5m","0.51","0.9639","1.89","0.9260999999999999","1","True"
"217","eth","5m","0.55","1.001","0.0","-1.001","1","False"
"218","eth","5m","0.55","1.001","1.82","0.8190000000000002","1","True"
"219","eth","5m","0.55","1.001","0.0","-1.001","1","False"
"220","eth","5m","0.34","1.003","2.95","1.9470000000000003","1","True"
"221","eth","5m","0.33","1.0032","3.04","2.0368","1","True"
"222","btc","5m","0.1500000386","0.388234","2.588226","2.199992","2","True"
"223","eth","5m","0.41","0.82","0.0","-0.82","1","False"
"224","eth","5m","0.46","1.0028","2.18","1.1772000000000002","1","True"
"225","eth","5m","0.46","1.0028","0.0","-1.0028","1","False"
"226","btc","5m","0.18666666666666668","6.003","0.0","-6.003","3","False"
"227","eth","5m","0.47","1.0011","0.0","-1.0011","1","False"
"228","eth","5m","0.47","1.0011","0.0","-1.0011","1","False"
"229","eth","5m","0.5","1.0","0.0","-1.0","1","False"
"230","eth","5m","0.5","1.0","2.0","1.0","1","True"
"231","eth","5m","0.43","1.0019","0.0","-1.0019","1","False"
"232","eth","5m","0.48","1.0032","0.0","-1.0032","1","False"
"233","eth","5m","0.5","1.0","0.0","-1.0","1","False"
"234","eth","5m","0.48","1.0032","2.09","1.0867999999999998","1","True"
"235","eth","5m","0.5","1.0","2.0","1.0","1","True"
"236","btc","5m","0.14285715691428572","3.576963","0.0","-3.576963","7","False"
"237","btc","5m","0.05000000000000001","2.4586","0.0","-2.4586","3","False"
"238","btc","5m","0.15666666943333332","1.462433","9.333331000000001","7.870898000000001","3","True"
"239","eth","5m","0.33","1.05159","0.0","-1.05159","1","False"
"240","eth","5m","0.46","1.04178","0.0","-1.04178","1","False"
"241","eth","5m","0.51","0.96094","1.82","0.85906","1","True"
"242","btc","5m","0.72","1.00628","1.37","0.36372000000000004","1","True"
"243","eth","5m","0.41","0.85483","2.0","1.14517","1","True"
"244","eth","5m","0.43","0.83262","0.0","-0.83262","1","False"
"245","eth","5m","0.55","1.03343","1.82","0.78657","1","True"
"246","eth","5m","0.43","1.04301","0.0","-1.04301","1","False"
"247","eth","5m","0.36","1.04691","0.0","-1.04691","1","False"
"248","btc","5m","0.79","1.01846","0.0","-1.01846","1","False"
"249","btc","5m","0.07666666666666666","3.001","0.0","-3.001","3","False"
"250","btc","5m","0.164","3.06178","0.0","-3.06178","5","False"
"251","btc","5m","0.195","2.0013","0.0","-2.0013","2","False"
"252","btc","5m","0.195","2.0013","0.0","-2.0013","2","False"
"253","btc","5m","0.13","2.1467300000000002","0.0","-2.1467300000000002","3","False"
"254","btc","5m","0.18","1.0008","0.0","-1.0008","1","False"
"255","btc","5m","0.19","1.0013","0.0","-1.0013","1","False"
"256","btc","5m","0.043333333333333335","2.0","0.0","-2.0","3","False"
"257","btc","5m","0.08","1.0","12.5","11.5","2","True"
"258","btc","5m","0.8","1.0144","1.25","0.23560000000000003","1","True"
"259","eth","5m","0.69","4.002","5.8","1.798","1","True"
"260","btc","5m","0.68","1.02958","1.48","0.45042000000000004","1","True"
"261","btc","5m","0.17000007455","1.0240960000000001","6.024094","4.999998","2","True"
"262","eth","5m","0.27000005315","3.890958","14.410955","10.519997","2","True"
"263","btc","5m","0.16333333333333333","2.0018","0.0","-2.0018","3","False"
"264","btc","5m","0.14","2.002","14.3","12.298000000000002","2","True"
"265","btc","5m","0.17","1.0013","0.0","-1.0013","1","False"
"266","btc","5m","0.44","1.02076","2.23","1.20924","1","True"
"267","btc","5m","0.59","1.0326","0.0","-1.0326","1","False"
"268","eth","5m","0.53","3.5033","6.61","3.1067000000000005","1","True"
"269","btc","5m","0.47","1.0393","2.13","1.0907","1","True"
"270","btc","5m","0.155","2.0004999999999997","0.0","-2.0004999999999997","2","False"
"271","eth","5m","0.47","3.5015","0.0","-3.5015","2","False"
"272","btc","5m","0.61","1.02849","0.0","-1.02849","1","False"
"273","btc","5m","0.05","2.0351980000000003","0.0","-2.0351980000000003","9","False"
"274","eth","5m","0.53","3.5033","0.0","-3.5033","1","False"
"275","btc","5m","0.66","1.02775","1.52","0.4922500000000001","1","True"
"276","btc","5m","0.77","1.00974","1.29","0.28025999999999995","1","True"
"277","eth","5m","0.39","2.54455","0.0","-2.54455","1","False"
"278","btc","5m","0.79","1.01846","1.27","0.2515400000000001","1","True"
"279","btc","5m","0.17","2.0026","0.0","-2.0026","2","False"
"280","eth","5m","0.41","3.64586","8.53","4.8841399999999995","1","True"
"281","btc","5m","0.13250374815","1.38138","0.0","-1.38138","2","False"
"282","eth","5m","0.63","3.59611","0.0","-3.59611","1","False"
"283","eth","5m","0.56","3.5","6.25","2.75","1","True"
"284","eth","5m","0.3628571429","3.32065","0.0","-3.32065","1","False"
"285","btc","5m","0.79","1.00243","1.25","0.24757000000000007","1","True"
"286","btc","5m","0.14","2.0015","0.0","-2.0015","2","False"
"287","btc","5m","0.17","1.0013","0.0","-1.0013","1","False"
"288","btc","5m","0.67","1.02887","0.0","-1.02887","1","False"
"289","btc","5m","0.13400001416","2.001767","0.0","-2.001767","5","False"
"290","btc","5m","0.75","1.02309","1.34","0.31691","1","True"
"291","btc","5m","0.72","0.98425","1.34","0.3557500000000001","1","True"
"292","btc","5m","0.3233333333333333","2.1584700000000003","1.5","-0.6584700000000003","3","True"
"293","btc","5m","0.12","1.0008","8.34","7.3392","1","True"
"294","btc","5m","0.12","2.0016","0.0","-2.0016","2","False"
"295","btc","5m","0.8","1.0144","1.25","0.23560000000000003","1","True"
"296","btc","5m","0.13","1.001","0.0","-1.001","1","False"
"297","btc","5m","0.08750000422500001","2.0005319999999998","0.0","-2.0005319999999998","4","False"
"298","btc","5m","0.15","1.0005","0.0","-1.0005","1","False"
"299","btc","5m","0.11","2.0002","0.0","-2.0002","2","False"
"300","btc","5m","0.132","0.87655","6.25","5.37345","1","True"
"301","btc","5m","0.19","1.0054","0.0","-1.0054","1","False"
"302","btc","5m","0.11000000466666666","1.000864","0.0","-1.000864","3","False"
"303","btc","5m","0.2","1.0","0.0","-1.0","1","False"
"304","btc","5m","0.68","1.02958","0.0","-1.02958","1","False"
"305","btc","5m","0.44","2.02623","8.51","6.48377","2","True"
"306","btc","5m","0.18","0.9","5.0","4.1","1","True"
"307","btc","5m","0.09","1.0008","11.120000000000001","10.119200000000001","2","True"
"308","btc","5m","0.65","1.02622","0.0","-1.02622","1","False"
"309","btc","5m","0.04","0.7671","19.1775","18.4104","2","True"
"310","btc","5m","0.09","0.0792","0.88","0.8008","1","True"
"311","btc","5m","0.7","0.99401","0.0","-0.99401","1","False"
"312","btc","5m","0.40499999999999997","1.14398","2.9000000000000004","1.7560200000000004","2","True"
